id,handledag,gender,age,basket2,brand1,brand4,brand5,hedonic1,hedonic2,hedonic4,confused1,confused2,confused4,perf2,perf3,perf4,careless1,careless2,careless3,value1,value2,habit1,habit2,novelty1,novelty2,novelty3
1,Thursday,Male,31-35 yr,Cart,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,Thursday,Male,51-55 yr,Cart,3,4,3,2,2,3,3,2,3,4,4,4,4,5,3,3,2,4,4,3,3,3
3,Wednesday,Male,41-45 yr,Basket,2,3,3,1,1,3,3,4,3,4,4,3,4,3,2,4,3,3,4,2,1,1
4,Wednesday,Male,21-25 yr,Basket,1,1,1,3,1,1,3,3,3,3,3,3,4,4,4,3,3,4,4,1,1,1
5,Thursday,Male,61-65 yr,Cart,1,1,1,2,2,2,2,2,4,3,3,4,4,3,4,4,4,4,4,1,1,1
6,Tuesday,Male,31-35 yr,Trolley,1,3,3,3,2,2,4,4,2,4,5,3,2,2,2,3,4,3,3,1,2,3
7,Monday,Male,21-25 yr,Arms,3,2,4,2,2,3,3,3,3,3,3,4,3,4,3,3,3,3,3,2,2,3
8,Tuesday,Male,21-25 yr,Arms,3,3,4,2,1,1,3,2,2,4,4,4,4,4,3,4,3,3,3,2,1,1
10,Thursday,Female,21-25 yr,Arms,2,2,2,4,4,4,3,2,3,2,2,2,3,4,2,4,3,4,3,2,4,2
11,Tuesday,Male,26-30 yr,Basket,3,3,3,2,2,2,3,4,3,4,2,3,3,4,2,3,3,2,3,2,1,2
12,Wednesday,Female,21-25 yr,Trolley,3,2,3,4,4,4,4,4,4,3,3,3,2,3,2,4,4,4,4,3,4,4
13,Friday,Female,21-25 yr,Basket,4,3,4,4,4,4,2,2,2,3,3,3,3,4,2,2,2,4,4,3,2,4
14,Tuesday,Female,26-30 yr,Cart,1,3,2,3,2,4,2,1,1,5,5,5,1,2,1,1,2,4,4,4,2,2
15,Monday,Male,31-35 yr,Basket,4,2,4,2,1,1,2,2,2,2,2,2,4,4,1,3,3,5,4,2,1,1
16,Monday,Female,16-20 yr,Trolley,3,2,2,4,4,4,3,2,3,4,4,4,4,4,3,4,3,4,4,2,4,3
17,Wednesday,Female,16-20 yr,Arms,3,3,3,2,3,1,2,1,2,4,3,3,2,3,2,3,2,2,3,2,1,3
18,Wednesday,Female,21-25 yr,Arms,3,3,3,4,4,3,2,3,1,3,3,4,3,4,3,3,3,3,4,3,3,3
19,Thursday,Female,31-35 yr,Cart,3,2,4,3,1,2,2,4,1,5,5,5,4,2,1,4,2,5,4,2,2,2
20,Thursday,Male,21-25 yr,Trolley,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4
21,Thursday,Male,31-35 yr,Trolley,3,3,3,4,2,4,3,3,3,4,5,4,4,4,3,4,4,3,3,3,3,3
22,Friday,Male,26-30 yr,Basket,4,2,4,3,2,3,2,3,2,4,4,4,4,4,3,4,2,3,3,3,2,2
23,Monday,Female,51-55 yr,Trolley,3,2,3,3,3,3,4,3,3,4,5,4,3,3,1,1,1,3,4,1,3,4
24,Tuesday,Male,46-50 yr,Trolley,4,4,4,3,2,2,3,2,4,4,4,4,4,4,2,4,2,4,4,4,3,2
25,Wednesday,Female,16-20 yr,Trolley,1,2,2,4,3,4,3,3,3,3,2,3,4,3,3,2,2,3,4,3,4,4
26,Monday,Male,31-35 yr,Arms,2,2,4,1,1,1,2,2,1,5,5,4,2,3,2,3,2,3,3,1,1,1
27,Tuesday,Female,41-45 yr,Basket,2,2,2,3,3,3,2,2,2,4,3,4,2,2,2,4,4,3,2,2,2,2
28,Wednesday,Male,21-25 yr,Trolley,2,1,2,2,2,1,1,1,2,2,3,2,3,3,3,3,2,2,2,2,2,2
29,Saturday,Female,16-20 yr,Arms,4,3,4,4,3,3,3,2,3,3,3,3,4,3,2,1,3,4,3,4,5,5
30,Wednesday,Female,21-25 yr,Trolley,1,2,2,1,1,3,3,3,3,3,3,2,4,5,3,3,3,3,2,3,2,2
31,Tuesday,Female,26-30 yr,Basket,4,2,2,4,2,4,2,2,2,4,4,4,4,4,4,2,2,4,3,4,4,4
32,Friday,Female,21-25 yr,Trolley,3,3,3,4,3,4,2,3,3,4,4,4,4,4,3,3,3,4,4,3,3,3
33,Tuesday,Female,31-35 yr,Basket,4,2,3,4,3,3,2,4,4,3,3,2,4,4,3,4,3,4,4,4,3,4
34,Thursday,Female,16-20 yr,Arms,3,3,3,4,4,2,3,3,3,4,4,4,3,3,3,5,5,3,3,4,4,4
35,Thursday,Female,16-20 yr,Cart,2,3,1,4,2,3,4,2,2,5,3,3,2,2,2,2,3,3,4,3,2,3
36,Thursday,Female,26-30 yr,Trolley,2,3,4,4,4,4,2,3,2,4,4,4,2,5,4,3,2,4,4,4,3,2
37,Wednesday,Female,36-40 yr,Basket,3,3,4,2,2,1,1,1,1,5,5,5,4,3,2,4,3,5,4,1,1,1
38,Monday,Male,26-30 yr,Basket,2,2,4,3,1,4,1,2,1,4,3,4,4,4,3,4,2,2,2,1,2,2
39,Tuesday,Male,16-20 yr,Arms,4,3,5,4,1,4,2,1,1,5,4,3,1,1,1,5,5,1,1,4,4,4
40,Tuesday,Male,51-55 yr,Trolley,3,3,3,2,2,2,4,3,4,3,2,4,2,2,3,4,3,5,5,2,1,2
41,Tuesday,Female,16-20 yr,Cart,2,3,4,3,4,4,5,2,1,5,5,5,5,5,5,3,3,5,5,3,2,3
42,Wednesday,Female,16-20 yr,Cart,3,3,2,4,3,4,3,4,3,4,4,4,4,3,3,2,2,3,3,4,4,3
43,Monday,Female,26-30 yr,Arms,3,4,4,5,4,5,2,1,1,4,4,3,3,4,2,1,2,5,5,5,5,3
44,Thursday,Female,36-40 yr,Basket,3,2,2,3,2,2,2,2,2,4,4,5,4,3,2,3,3,2,3,3,3,2
45,Wednesday,Female,21-25 yr,Cart,3,3,3,4,4,4,2,3,1,3,2,3,4,4,4,3,3,4,4,2,4,4
46,Wednesday,Female,36-40 yr,Arms,2,2,1,1,1,3,3,1,3,3,3,3,3,3,1,3,3,3,3,1,1,1
47,Tuesday,Female,36-40 yr,Arms,3,1,3,1,1,1,1,1,1,2,2,3,3,2,1,3,3,2,1,1,1,1
48,Tuesday,Female,51-55 yr,Basket,1,1,1,2,2,2,2,2,2,3,3,3,2,2,1,3,2,1,1,1,1,1
49,Tuesday,Female,16-20 yr,Trolley,3,3,2,5,4,3,3,3,2,4,4,3,3,3,4,4,4,4,4,4,3,4
50,Monday,Male,56-60 yr,Basket,4,3,4,2,2,2,4,4,3,4,4,4,3,4,3,3,2,4,3,2,2,2
51,Thursday,Male,16-20 yr,Basket,3,3,2,2,2,2,2,2,2,4,3,4,3,3,2,3,3,3,3,1,1,2
52,Friday,Male,21-25 yr,Basket,1,3,1,1,1,1,1,3,3,1,3,1,1,2,3,1,1,1,2,3,1,2
53,Tuesday,Male,71-75 yr,Cart,2,2,2,2,2,2,2,2,2,4,4,1,3,2,2,2,2,1,1,2,2,3
54,Tuesday,Male,46-50 yr,Cart,1,1,1,1,1,3,3,1,2,3,3,3,3,3,3,3,3,1,2,1,1,1
55,Monday,Female,21-25 yr,Basket,1,1,1,5,4,2,2,4,1,5,5,5,4,2,1,5,4,5,5,4,2,1
56,Monday,Female,31-35 yr,Trolley,3,2,3,3,3,3,2,2,2,4,4,5,4,5,5,3,3,4,4,4,2,3
57,Wednesday,Female,36-40 yr,Arms,1,1,1,3,2,3,4,4,4,5,3,2,4,4,3,5,5,2,3,1,1,1
58,Wednesday,Female,46-50 yr,Cart,2,3,2,4,4,3,3,2,2,4,4,4,4,4,3,4,4,4,4,1,1,3
59,Tuesday,Female,21-25 yr,Basket,4,2,3,5,5,5,3,3,3,4,3,4,4,4,4,3,4,4,3,5,4,5
60,Thursday,Female,16-20 yr,Trolley,5,3,2,4,2,4,4,4,5,4,2,2,5,4,4,2,2,2,4,4,4,3
61,Tuesday,Female,16-20 yr,Arms,4,2,4,5,5,5,4,4,3,2,2,2,4,4,3,5,3,4,4,4,4,3
62,Wednesday,Female,21-25 yr,Basket,3,4,3,4,4,3,2,2,2,4,3,3,2,3,2,4,2,4,4,4,4,4
63,Monday,Male,36-40 yr,Trolley,4,3,4,3,1,3,2,3,2,2,4,2,1,2,1,4,2,3,4,3,2,3
64,Wednesday,Female,46-50 yr,Basket,2,1,1,4,2,2,1,1,1,4,4,4,2,4,1,4,2,2,4,4,4,4
65,Tuesday,Female,41-45 yr,Cart,4,4,2,2,2,1,4,4,1,4,4,4,2,2,2,3,2,4,4,2,1,2
