year,mainland_norway,germany,new_zealand,norway,switzerland,sweden,usa
1970,59.36,77.16,74.91,64.16,136.39,92.8,100
1971,61.48,77.38,76.68,66.03,137.49,91.22,100
1972,61.93,77.13,77.34,66.27,135.02,89.33,100
1973,61.09,77,75.48,65.75,132.14,88.6,100
1974,64.04,78.81,78.53,68.91,135.64,92.5,100
1975,67.96,79.35,80.58,72.77,128.37,95.62,100
1976,68.21,80.16,76.09,73.44,122.61,92.25,100
1977,68.53,80.13,68.39,73.54,121.58,87.33,100
1978,66.44,79.13,68.54,72.86,116.61,84.85,100
1979,65.66,80.75,65.61,74.28,116.8,86.16,100
1980,65.28,82.84,67.25,78.52,123.25,88.7,100
1981,64.68,81.91,67.65,78.31,122.5,87.66,100
1982,66.97,83.98,72.46,80.41,123.57,91.2,100
1983,66.25,82.53,72.22,80.42,119.72,89.63,100
1984,64.62,80.11,71.93,80,115.6,87.79,100
1985,66.51,79.58,69.43,81.53,115.57,86.73,100
1986,73.04,79.37,69.57,82.45,114.13,86.67,100
1987,73.32,78.46,66.87,81.43,112.28,87.06,100
1988,71.51,78.42,64.8,78.27,111.44,86.1,100
1989,67.04,78.77,63.27,76.67,112.35,85.49,100
1990,65.96,81.58,61.57,77.32,114.36,84.84,100
1991,68.23,86.32,59.78,80.46,113.56,84.51,100
1992,69.58,85.57,58.57,81.12,110.1,81.28,100
1993,69.87,83.08,60.26,81.76,107.71,78.03,100
1994,71.3,82.57,61.37,83.09,105.41,78.38,100
1995,73.01,82.45,62.19,84.85,103.51,79.91,100
1996,74.35,80.74,61.44,89.47,101.15,79.27,100
1997,75.48,78.67,60.73,91.01,100.34,78.39,100
1998,75.32,77.8,58.83,85.89,99.46,78.33,100
1999,75.23,76.89,59.57,88.62,97.18,79.16,100
2000,77.26,75.64,59.16,101.78,97.63,81.15,100
2001,78.86,77.28,60.34,101.83,98.44,80.24,100
2002,80.69,77.68,61.03,100.01,98.65,80.97,100
2003,78.98,76.69,60.53,97.78,95.02,80.11,100
2004,80.66,76.15,60.02,102.07,93.43,80.7,100
2005,82.65,73.19,58.1,108.53,91.56,77.26,100
2006,87.78,74.9,59.87,117,97.02,80.96,100
2007,90.83,76.87,61.19,116.64,103.33,84.73,100
2008,95.31,79.55,61.65,127.75,108.39,86.88,100
2009,95.27,79.74,65.04,117.83,109.73,85.45,100
2010,95.91,82.04,64.4,119.77,109.31,87.22,100
2011,96.33,85.41,65.58,124.63,112.79,89.35,100
2012,98.14,84.13,63.86,126.79,112.24,87.9,100
2013,99.41,84.82,68.01,126.22,113.31,86.98,100
2014,96.66,85.49,67.39,119.83,112.56,85.55,100
2015,89.33,83.99,65.45,106.32,112.63,86.27,100
2016,88.43,87.35,68.35,101.78,113.54,87.13,100
2017,88.9,88.38,67.69,104.93,111.93,87.84,100
2018,88.56,86.64,66.01,107.57,110.35,85.61,100
