date,weight,temp,nedbor,vind
1/1/2020,2060,6.4,6.6,24.9
1/2/2020,16354,6.8,5.9,26.3
1/3/2020,41101,2.4,9.5,20.6
1/4/2020,28183,1.2,2.6,23.9
1/5/2020,35656,2.8,1.5,16.8
1/6/2020,59223,6.6,5.6,14.1
1/7/2020,72815,6.4,11.1,18.9
1/8/2020,50093,4.4,10.3,21.4
1/9/2020,49024,3.3,4.3,24.6
1/10/2020,63357,3.9,3,13.5
1/11/2020,59922,5,7.3,20.1
1/12/2020,47574,4.2,6.2,18.2
1/13/2020,58922,3.8,8.9,15.6
1/14/2020,93123,4.1,4.4,10.6
1/15/2020,153977,4.1,6.4,10.6
1/16/2020,131091,5.1,8.4,14.3
1/17/2020,121713,4.6,6.7,11.8
1/18/2020,153271,4.2,3,11.7
1/19/2020,117323,4.8,0.1,12.5
1/20/2020,83715,5.7,5,16.6
1/21/2020,33826,2.8,6.4,16.8
1/22/2020,50446,4.3,16,17.6
1/23/2020,76718,1.1,3.4,20.2
1/24/2020,90801,1.9,5.6,15.8
1/25/2020,109999,0.8,0.7,15.3
1/26/2020,87608,0.1,0.1,14.8
1/27/2020,154393,1.3,0,10.9
1/28/2020,177810,2.2,2.2,9.4
1/29/2020,211391,3,0,10.8
1/30/2020,203201,2.9,0,10.2
1/31/2020,173053,3.4,5.4,19.6
2/1/2020,92543,2.6,25.1,15.7
2/2/2020,93852,-0.5,3.1,12.4
2/3/2020,103604,-0.6,2.8,16.2
2/4/2020,157427,-0.9,2.1,18.8
2/5/2020,80304,0.6,0.6,14.7
2/6/2020,144411,5.2,1.6,15.7
2/7/2020,149209,5.4,1.7,12
2/8/2020,124341,4.8,0,13.6
2/9/2020,141800,3.3,0.3,10.9
2/10/2020,287292,3.7,2.6,13
2/11/2020,201301,2.7,0.6,14.2
2/12/2020,235147,1.4,0.2,12.9
2/13/2020,230714,0.9,1.6,15.7
2/14/2020,166400,2,0.9,10.6
2/15/2020,171744,4.6,0,18.5
2/16/2020,113113,4.5,6.9,11.8
2/17/2020,258916,2.6,8.2,16.8
2/18/2020,122477,0.8,0.9,13.5
2/19/2020,252114,1.8,0.5,15.4
2/20/2020,202760,4.3,6.7,22.7
2/21/2020,117430,4.2,9,22.4
2/22/2020,32144,2.5,7.2,22.4
2/23/2020,33222,0.7,1.2,20.7
2/24/2020,97510,0.8,1.4,18.1
2/25/2020,247687,2.5,0.4,14.2
2/26/2020,245762,1.9,0,14.6
2/27/2020,129674,0.7,4,18.1
2/28/2020,167632,-0.5,12,18.5
2/29/2020,152931,-0.7,1.4,15.8
3/1/2020,138127,0.2,0,13.1
3/2/2020,186516,1.3,0,14.4
3/3/2020,251012,2.9,0,13
3/4/2020,219868,1.4,0.4,10.2
3/5/2020,324802,2.8,2.9,8.9
3/6/2020,342485,3.9,9.1,14.3
3/7/2020,276002,3.8,2.1,11.7
3/8/2020,223553,5.4,3.1,16.7
3/9/2020,133680,2.8,2.1,12.6
3/10/2020,186871,3.1,0,12.6
3/11/2020,260953,0.2,4.6,19.1
3/12/2020,161162,-2.8,0.8,22.4
3/13/2020,132417,-0.4,2.5,21.7
3/14/2020,204629,1.2,20.1,21.1
3/15/2020,121162,1.8,0,22.5
3/16/2020,110977,3.8,4.4,21.3
3/17/2020,102031,3.6,5,13.5
3/18/2020,181396,0.4,1.3,16.6
3/19/2020,192740,-0.2,0.8,18.4
3/20/2020,275162,2.3,0.6,13.2
3/21/2020,164296,4.1,2.3,19.8
3/22/2020,33302,5.2,4.7,19.3
3/23/2020,60136,5.8,11.4,18.9
3/24/2020,41075,4.1,5,14.4
3/25/2020,127312,4.8,1.4,16.6
3/26/2020,114740,4,5.4,14.6
3/27/2020,136012,-1.9,4.4,20.8
3/28/2020,93855,-1,1.4,16.3
3/29/2020,130071,0.9,0.7,17.7
3/30/2020,231994,3.5,8.7,20
3/31/2020,91258,2.3,0.7,18.2
4/1/2020,207852,-0.4,0,17.9
4/2/2020,176586,-0.6,1.4,17.4
4/3/2020,254287,-2.2,5.6,15.3
4/4/2020,168963,-0.6,0.3,13.6
4/5/2020,148610,3.2,0.7,12.2
4/6/2020,163001,5.8,0.1,16.9
4/7/2020,67198,4.2,4.5,26.5
4/8/2020,24185,1.7,2,13.3
4/9/2020,64284,1.1,0.6,14.7
4/10/2020,88320,2.2,0.8,12.9
4/11/2020,128606,2.1,0,20.1
4/12/2020,61525,1.7,0.3,25.9
4/13/2020,33690,3,0.2,14
4/14/2020,129030,3,2.6,11.9
4/15/2020,162805,2.4,2.3,14.3
4/16/2020,192203,3.6,3.6,16.3
4/17/2020,181454,5.3,0.9,8.8
4/18/2020,214288,5.7,0.2,9.1
4/19/2020,179049,5.7,0,7.6
4/20/2020,235801,5.8,0.1,6.8
4/21/2020,235100,5,0,6
4/22/2020,189934,4.9,0.2,8.3
4/23/2020,211177,4.8,0.8,8
4/24/2020,176429,4,0.1,12.2
4/25/2020,64934,3.7,0.3,12.4
4/26/2020,54610,3.7,0,14
4/27/2020,105616,2.9,0,8.5
4/28/2020,162031,4.8,0,8.2
4/29/2020,163154,4.7,0,6
4/30/2020,145642,5.5,0,8.4
5/1/2020,53647,4.9,0,9.9
5/2/2020,73198,4.8,2.6,9.1
5/3/2020,35406,4.9,0.6,11.8
5/4/2020,139951,4.7,2.2,18
5/5/2020,69252,4,7.6,14.7
5/6/2020,46568,2.4,1,15.3
5/7/2020,63092,1.9,0.2,9.9
5/8/2020,77352,1.5,1.5,11.9
5/9/2020,37816,2.2,0.4,9.9
5/10/2020,30013,2.8,0.7,11.9
5/11/2020,88041,2.1,3.9,14.2
5/12/2020,51529,1.1,2.6,11.7
5/13/2020,47186,2.5,2.7,7.7
5/14/2020,83470,2.4,0.2,13.6
5/15/2020,46029,4.9,4.7,14.3
5/16/2020,21601,5.8,0,9
5/17/2020,7545,4.2,0,9.1
5/18/2020,78504,5.4,0.5,5.9
5/19/2020,90677,5.4,0,8.1
5/20/2020,121840,6.3,1.1,8.4
5/21/2020,40634,8,0,9.3
5/22/2020,87332,10,0,9.9
5/23/2020,31011,9.7,0.1,7.1
5/24/2020,19251,8.4,0,10.5
5/25/2020,91270,8.4,0.1,11.4
5/26/2020,76672,8.2,1.7,13.2
5/27/2020,50479,7.8,1.8,11.9
5/28/2020,55118,7.6,5.3,9.7
5/29/2020,37566,8.1,0,7.5
5/30/2020,13517,10.6,0.1,5.2
5/31/2020,13569,12.2,0,6.3
6/1/2020,20049,8.3,0,7.5
6/2/2020,79808,7.4,0.7,8.1
6/3/2020,60236,9.2,0.8,9.9
6/4/2020,68405,11.2,0,9.9
6/5/2020,55324,10.6,0,7.9
6/6/2020,30546,8.1,0,8.9
6/7/2020,21809,6.9,0.1,7.7
6/8/2020,45381,7.7,1.2,6.7
6/9/2020,53941,8.2,0,10.7
6/10/2020,56476,8.7,0,9.6
6/11/2020,49820,9.3,0,7.3
6/12/2020,44865,14.3,0.1,10
6/13/2020,19670,11.7,0,5.1
6/14/2020,16141,9.3,2.4,7.8
6/15/2020,45472,10.3,1.2,8.2
6/16/2020,31801,11.3,0,7.7
6/17/2020,41421,9.6,0.1,13.4
6/18/2020,51237,9.6,0,12.8
6/19/2020,21893,13.1,0,10.5
6/20/2020,10413,14.7,0,7
6/21/2020,10175,15.7,0,7.7
6/22/2020,52629,14,0,7.9
6/23/2020,45050,12.7,0,9.6
6/24/2020,48815,13.1,3.2,9.8
6/25/2020,47443,11.9,0,7.9
6/26/2020,26593,11.9,0,10.4
6/27/2020,10450,13.5,0,10.7
6/28/2020,6855,10,0,18.7
