"date","kpi","arb_led","cci_norge_imp","forbrukslan","bruttogjeld","styringsrente","maaneds_trans","varekonsum","verdi_47_5"
2000-01-01,74.5,NA,NA,NA,725784,5.5,11525,77.1,54.6
2000-02-01,74.8,NA,NA,NA,729248,5.5,9399,75.8,49.5
2000-03-01,74.9,NA,NA,NA,737350,5.5,7662,80.7,54.2
2000-04-01,75.1,NA,NA,NA,742997,5.75,15144,76.2,47.1
2000-05-01,75.2,NA,NA,NA,750439,5.75,11501,83.4,57.5
2000-06-01,75.6,NA,NA,NA,757546,6.25,11074,81.4,62
2000-07-01,75.3,NA,NA,NA,760848,6.25,11514,81.1,59.9
2000-08-01,75.3,NA,NA,NA,767270,6.75,11186,83,68
2000-09-01,76,NA,NA,NA,777122,7,15975,79,61.3
2000-10-01,76,NA,NA,NA,781524,7,6940,82.5,65
2000-11-01,76.4,NA,NA,NA,788296,7,17572,85.3,64
2000-12-01,76.3,NA,NA,NA,794566,7,13338,101,78.9
2001-01-01,76.9,NA,NA,NA,803432,7,19015,80,59
2001-02-01,77.5,NA,NA,NA,806310,7,12172,75.1,48.2
2001-03-01,77.7,NA,NA,NA,815400,7,14687,83.3,54.6
2001-04-01,78,NA,NA,NA,821348,7,11405,77.5,48.6
2001-05-01,78.4,NA,NA,NA,829527,7,7156,83.2,57.5
2001-06-01,78.4,NA,NA,NA,838514,7,9353,83.6,64.9
2001-07-01,77.4,NA,NA,NA,842616,7,9148,84,62.3
2001-08-01,77.3,NA,NA,NA,850267,7,14972,85.3,70.7
2001-09-01,77.7,NA,NA,NA,859213,7,10658,78.8,61.5
2001-10-01,77.7,NA,NA,NA,868514,7,7819,88.1,70.1
2001-11-01,77.7,NA,NA,NA,877350,7,12243,90.1,70.4
2001-12-01,77.9,NA,NA,NA,884089,6.5,8772,105.7,78.4
2002-01-01,78,NA,NA,NA,888656,6.5,5889,83.2,63.3
2002-02-01,78.1,NA,NA,NA,893573,6.5,10776,77.2,51.6
2002-03-01,78.4,NA,NA,NA,900196,6.5,8971,84.4,52.9
2002-04-01,78.5,NA,NA,NA,910881,6.5,13192,82.6,59.4
2002-05-01,78.7,NA,NA,NA,919075,6.5,10004,87,61.1
2002-06-01,78.7,NA,NA,NA,927276,6.5,13202,86.1,66.6
2002-07-01,78.6,NA,NA,NA,933875,7,9075,87.1,66.2
2002-08-01,78.3,NA,NA,NA,942325,7,10933,88.1,68.6
2002-09-01,78.8,NA,NA,NA,952777,7,8576,82.6,64.6
2002-10-01,79.1,NA,NA,NA,958343,7,7658,93.7,71.2
2002-11-01,79.4,NA,NA,NA,966405,7,18859,94.6,71.4
2002-12-01,80,NA,NA,NA,973438,6.5,10435,109.7,78
2003-01-01,81.9,NA,NA,NA,978786,6,12826,85.5,62.8
2003-02-01,82,NA,NA,NA,984769,6,8978,79.6,51
2003-03-01,81.4,NA,NA,NA,993058,5.5,8127,84.8,55.9
2003-04-01,80.8,NA,NA,NA,1001419,5,8720,86.5,57.2
2003-05-01,80.3,NA,NA,NA,1010372,5,10862,89.2,63.2
2003-06-01,80.1,NA,NA,NA,1018171,4,5531,89.9,68.8
2003-07-01,79.8,NA,NA,NA,1026458,4,10295,93.4,69
2003-08-01,80,NA,NA,NA,1034996,3,12156,90.1,73
2003-09-01,80.4,NA,NA,NA,1048266,2.5,9968,88.3,69
2003-10-01,80.4,NA,NA,NA,1059107,2.5,10113,97.4,75.2
2003-11-01,80.5,NA,NA,NA,1069993,2.5,11499,94.5,71.1
2003-12-01,80.5,NA,NA,NA,1077708,2.25,7528,116.3,84
2004-01-01,80.4,NA,NA,53,1083515,2,12300,91.8,64.4
2004-02-01,80.5,NA,NA,0,1090325,2,11451,85,51.5
2004-03-01,80.9,NA,NA,0,1103609,1.75,11558,95.8,60.6
2004-04-01,81,NA,NA,0,1116121,1.75,13426,90.1,58.2
2004-05-01,81.1,NA,NA,48,1127049,1.75,15614,90.9,63
2004-06-01,81.1,NA,NA,51,1137749,1.75,13625,98.3,78.8
2004-07-01,81,NA,NA,43,1145991,1.75,13470,96.3,73
2004-08-01,80.8,NA,NA,100,1154718,1.75,13704,95,74.9
2004-09-01,81.3,NA,NA,0,1166382,1.75,16697,92.3,74.9
2004-10-01,81.5,NA,NA,73,1179563,1.75,19187,95.9,77.2
2004-11-01,81.5,NA,NA,78,1191829,1.75,13915,98.8,77.6
2004-12-01,81.4,NA,NA,0,1204949,1.75,17708,123.7,93.3
2005-01-01,81.2,NA,NA,66,1216585,1.75,17225,90.9,66.9
2005-02-01,81.3,NA,NA,0,1223179,1.75,17375,87.9,56.4
2005-03-01,81.7,NA,NA,52,1236655,1.75,21515,96,57.1
2005-04-01,82.1,NA,NA,27,1251957,1.75,25935,96.9,68.5
2005-05-01,82.4,NA,NA,0,1266839,1.75,12180,96.7,70.3
2005-06-01,82.4,NA,NA,50,1283240,2,22153,102.8,84.1
