year,share_of_gdp,share_of_investments,share_of_exports,share_of_government_revenues
1971,0.0116621475844777,2.23811794627245,0.332588038010061,0.0460359738252606
1972,0.17925534705584,3.86025512832167,0.915663856295814,0.115483283794671
1973,0.187026660919894,6.292721640511,1.13778984836327,0.164220807966375
1974,0.393671988775028,11.1185476449427,2.03713899594574,0.254658568103278
1975,2.07449563279391,12.1124355454363,6.56984897084186,0.383252598471043
1976,3.25261703353576,14.3495415240373,10.7831880360054,3.0717869391008
1977,3.49100322218602,15.3713340790818,11.9535374868004,4.38462824054503
1978,5.5804303614774,8.9634083402147,17.4901433487545,4.76569002674227
1979,8.28381035206844,13.2293063513349,23.750911311625998,7.31283462747737
1980,13.4630308628593,12.533225210614,33.0523670247946,16.2726378867041
1981,14.2915457805612,12.0831671999144,33.9128708559865,19.757595558666
1982,14.3471217461201,14.279229735156,35.173375846951,19.8983736495042
1983,15.504484529319,22.4514768581939,36.9966587626644,18.8567352391776
1984,17.127620506786,24.7273640407519,38.8330327692696,20.7407100199071
1985,16.7110003164996,22.8091786943697,38.4470073994384,17.5040584051589
1986,9.89563732035545,20.1091592352889,29.501964716958,10.1267517629206
1987,9.06052372514274,18.733131041048,29.1753037441111,3.20672708382784
1988,7.24381252974021,15.1431963952261,24.2032898215926,1.01857131676338
1989,10.6047542105597,16.9404765658668,29.1787348281469,5.20150735385522
1990,12.5476755661057,19.0012322535055,31.5168594442997,11.1425313568985
1991,12.5929169825601,25.1537740844841,32.7367000497194,12.2538503807694
1992,12.3512316549275,29.3579494913197,33.6957493666275,9.49196737787707
1993,12.3760813654431,31.7734030701008,34.2981459866415,8.49739989993784
1994,12.3430330467889,28.3192545367397,33.9396906324066,7.23575326692449
1995,12.2577449960442,23.5960443221882,34.0433374287948,10.0568244136065
1996,15.3884809684907,20.9463187851665,39.8648343900812,16.142861762627
1997,15.3481872185326,23.3425224239854,38.6119128270713,18.1527703426124
1998,10.6978467612008,25.794047078659,30.173978062319,9.55615917779126
1999,13.6451371545459,24.0278105114306,35.675327200352,8.93302838140801
2000,22.3125982313872,19.1057563587684,47.5932663684,25.0716088977067
2001,20.5076244673357,19.2940591110107,45.9876192155235,32.0705658984231
2002,17.7606266647705,18.3765122513379,45.1369727165264,24.5
2003,17.7600835367856,21.2963840460123,45.3138115059807,24.8021262678629
2004,19.8310170385077,20.8990290874107,47.5146009262153,27.251464090685
2005,22.7843196965608,22.4220058561903,50.9686756473564,32.0088566222103
2006,24.0401079809432,21.0240207448951,51.7030920750102,35.7197459351225
2007,21.2059282444314,20.5595576060804,48.2703724195132,30.7143966605184
2008,24.4990391586021,21.8670655818616,53.077462847405,35.1654089453661
2009,18.2843925894417,24.9308244241565,47.6132703490965,26.5991944016907
2010,19.0226507720109,24.625433336805,46.9588535358241,25.9171498714271
2011,21.8535365453222,25.6389216683283,50.1769399410576,28.6718430731508
2012,21.7168856292381,27.1288866712856,51.5152394702819,32.6244281315667
2013,20.2639078100458,30.4132274774246,49.2315794632644,29.3180749016175
2014,18.3676269909648,30.0973697234721,45.9570232927254,27.1387761709222
2015,15.0002185674319,27.1949639055624,38.8824550752586,20.140963607078
2016,12.2078738652898,21.179203721159,35.1812896583928,10.7338230403637
2017,14.4650908453102,18.5115630860924,39.4636815330353,14
2018,17.014098548229,18.018262426965,42.8648786838191,21.1
2019,13.5559368449523,19.2536582101698,36.3308214263656,19.2
2020,10.7,20.3,32,10.2
2021,12.2,17.8,36.2,9.8561
