"week","sales","price","displayonly","coupononly","displaycoupon"
1,62.10998821,1.089999771,0,0,0
2,37.69999504,1.271818074,0,0,0
3,40.27999497,1.271818074,0,0,0
4,45.43999481,1.271818074,0,0,0
5,25.39999771,1.271818074,0,0,0
6,65.87999344,1.271818074,0,0,0
7,62.40999508,1.271818074,0,0,0
8,53.37999535,1.271818074,0,0,0
9,46.13999748,1.276363546,0,0,0
10,602.5199776,1.276363546,0,1,0
11,39.5399971,1.276363546,0,0,0
12,56.04999066,1.256666501,0,0,0
13,52.77999306,1.256666501,0,0,0
14,52.37999153,1.256666501,0,0,0
15,513.9999771,1.256666501,0,0,1
16,307.7599282,1.026666363,1,0,0
17,40.27999497,1.256666501,1,0,0
18,218.6999626,1.100714093,1,0,0
19,72.77998543,1.254999797,0,0,0
20,49.90998554,1.253809316,0,0,0
21,76.99998284,1.246666431,0,0,0
22,69.91998673,1.24999978,0,0,0
23,773.939792599999,1.234615216,0,1,0
24,92.4499850299999,1.234615216,0,0,0
25,47.37999201,1.234615216,1,0,0
26,133.1699696,1.10384589,1,0,0
27,40.83999539,1.242307516,0,0,0
28,41.44999313,1.262307534,0,0,0
29,35.55999565,1.262307534,0,0,0
30,111.5099945,1.268900966,0,1,0
31,39.54999638,1.269999871,1,0,0
32,430.789916,1.09802178,0,0,1
33,32.91999817,1.263076856,0,0,0
34,45.56999779,1.26197795,0,1,0
35,47.90999508,1.255384519,0,0,0
36,50.59999466,1.250769102,0,0,0
37,51.47999382,1.250769102,0,0,0
38,119.9799824,1.237582301,0,1,0
39,45.79999352,1.258461439,1,0,0
40,38.17999458,1.273846039,0,0,0
41,71.3099937500001,1.273846039,0,0,0
42,43.25999546,1.273846039,1,0,0
43,148.849966,1.142307428,1,0,0
44,42.20999336,1.280769055,0,0,0
45,47.37998963,1.273076718,0,0,0
46,349.8199816,1.273076718,1,0,0
47,162.0599613,1.111538153,1,0,0
48,72.04998589,1.271098692,0,0,0
49,51.43999195,1.26142833,0,0,0
50,55.83998966,1.276812931,0,0,0
51,57.77998734,1.280768981,0,0,0
52,51.91999436,1.279999806,0,0,0
53,75.97999096,1.273076718,0,0,0
54,60.76999474,1.273076718,0,0,0
55,52.5799923,1.273076718,1,0,0
56,244.1999378,1.082307375,1,0,0
57,53.93997765,1.215274402,0,0,0
58,65.92996883,1.197691917,0,0,0
59,91.5999527,1.155933516,0,0,0
60,64.7599535,1.096922288,0,0,0
61,63.74995708,1.110768465,1,0,0
62,208.87994,1.102307246,1,0,0
63,521.4996948,1.141537729,0,0,1
64,63.59996223,1.205383961,0,0,0
65,44.94997311,1.166922423,1,0,0
66,170.6499481,1.107691765,1,0,0
67,41.68997574,1.166922423,0,0,0
68,77.65995502,1.160988347,0,0,0
69,54.11996746,1.166922423,1,0,0
70,219.5199232,1.079230309,1,0,0
71,235.7699337,1.035384252,1,0,0
72,101.8399591,1.15230707,0,0,0
73,47.34997272,1.166482873,0,0,0
74,58.6499691,1.112746647,1,0,0
75,231.3398857,1.053845626,1,0,0
76,423.8397665,1.164614751,0,0,1
77,98.80995083,1.157691662,1,0,0
78,251.8998671,1.157691662,0,1,0
79,43.60997486,1.157691662,0,0,0
80,55.89996815,1.157691662,0,0,0
81,285.8398409,1.157691662,0,0,1
82,152.6899261,1.11153786,1,0,0
83,51.33997154,1.157691662,1,0,0
84,72.68995953,1.157691662,1,0,0
85,58.3299675,1.157691662,0,0,0
86,55.99996567,1.157691662,0,0,0
87,272.9598503,1.157691662,0,1,0
88,51.59996986,1.150768573,0,0,0
89,58.26996422,1.150768573,0,0,0
90,60.01996613,1.150768573,0,0,0
91,60.83996487,1.150768573,0,0,0
92,442.2797146,1.138900421,0,1,0
93,75.99995136,1.129999307,0,0,1
94,99.83995151,1.122307044,1,0,0
95,231.0399208,1.03461493,1,0,0
96,81.2399663900001,1.10692248,0,0,0
97,55.08997631,1.10692248,0,0,0
98,47.46997547,1.10692248,1,0,0
99,188.7499466,1.019230366,1,0,0
100,66.86996365,1.10692248,0,0,0
101,153.3799195,1.10692248,0,1,0
102,73.51996565,1.10692248,0,1,0
103,88.04996061,1.106702695,0,0,0
104,76.99996805,1.104834557,0,0,0
105,53.42998266,1.071867691,0,0,0
106,58.45998192,1.069889676,1,0,0
107,136.1199679,0.981538222,1,0,0
108,36.65998983,0.940659078,0,0,0
109,40.22999001,0.969450317,0,0,0
110,39.56999016,0.962307453,0,0,0
111,40.03998947,0.95999976,0,0,0
112,337.7599258,0.95999976,0,0,1
113,133.7599702,0.91083312,1,0,0
114,34.88999176,0.95999976,0,0,0
115,119.5399694,0.965237862,0,1,0
116,32.43999338,0.987499793,0,0,0
117,24.67999506,0.987499793,0,0,0
118,419.419967599999,0.987499793,0,1,0
119,33.51999331,0.987499793,0,0,0
120,35.12999249,0.987499793,0,0,0
121,35.13999367,0.987499793,0,0,0
122,23.07999611,0.987499793,0,0,0
123,29.53999519,1.026785555,0,0,0
124,18.88999796,1.049999887,0,0,0
