"date","spontan_ka_nnedom","direct_mail","bio","desktop","display","landsort","lokal_tv","mobile","oadressed_dr","online_video","popul_a_rpress","radio","social_media","storstad_kv_a_ll","storstad_morgon","tv","utomhus"
2013-06-17,58.66333333,0,0,0,0,141,0,0,62,0,100,0,0,0,0,4151,251
2013-06-24,63.16,0,0,0,0,115,0,0,58,0,0,0,0,0,0,3873,251
2013-07-01,61.17333333,0,0,0,0,77,0,0,53,0,0,0,0,0,0,4896,251
2013-07-08,63.48333333,0,0,0,0,210,0,0,42,0,0,0,0,0,0,43,251
2013-07-15,53.76,0,0,0,0,0,0,0,58,0,100,0,0,0,0,0,251
2013-07-22,53.61,0,0,0,0,0,0,0,57,0,0,0,0,0,0,2290,251
2013-07-29,50.55,0,0,0,0,0,0,0,54,0,142,0,0,0,0,2722,251
2013-08-05,58.7,0,0,0,0,0,0,0,47,0,0,0,0,0,0,79,251
2013-08-12,60.69666667,0,0,0,0,103,0,0,50,0,0,0,0,0,0,2623,251
2013-08-19,63.70333333,0,0,0,0,0,0,0,59,0,24,0,0,0,0,2868,251
2013-08-26,58.95333333,0,0,0,0,38,0,0,55,0,0,0,0,0,0,2551,251
2013-09-02,57.79333333,0,0,0,0,38,0,0,53,0,211,0,0,0,643,5149,847
2013-09-09,58.32666667,0,0,0,0,401,0,0,44,0,168,0,0,0,658,5725,386
2013-09-16,63.55,0,0,0,0,88,0,0,63,0,0,0,0,0,468,5131,4239
2013-09-23,63.69666667,0,0,0,0,88,0,0,57,0,0,0,0,0,777,5493,350
2013-09-30,63.47333333,0,73,0,0,31,0,0,55,0,0,0,0,0,284,4881,255
2013-10-07,58.45333333,0,86,0,0,50,0,0,44,0,43,0,0,0,113,4607,255
2013-10-14,60.21,0,86,0,0,241,0,0,56,0,0,0,0,0,0,4089,255
2013-10-21,56.49333333,0,86,0,0,525,0,0,58,0,76,0,0,0,0,4275,255
2013-10-28,62.09,0,49,0,0,52,0,0,78,0,0,0,0,95,0,5510,676
2013-11-04,62.33333333,0,0,0,0,0,0,0,100,0,43,92,0,0,0,1661,94
2013-11-11,62.94,0,0,0,0,0,0,0,98,0,0,0,0,95,122,1,94
2013-11-18,62.90333333,0,0,0,0,142,0,0,123,0,0,0,0,0,1092,3978,94
2013-11-25,66.8,8,0,0,0,209,0,0,115,0,0,0,0,0,0,5860,168
2013-12-02,68.56,53,0,0,0,0,0,0,102,0,43,0,0,0,0,7959,255
2013-12-09,66.49333333,53,0,0,0,24,0,0,84,0,0,0,0,0,0,6013,255
2013-12-16,61.97,53,0,0,0,4,0,0,122,0,0,0,0,0,0,8155,255
2013-12-23,64.73333333,53,0,0,0,0,0,0,111,0,0,0,0,0,0,4671,232
2013-12-30,63.28,15,0,0,0,482,0,0,103,0,0,0,0,769,598,3528,200
2014-01-06,59.36666667,0,0,0,0,0,0,0,86,0,43,0,0,519,907,1308,0
2014-01-13,57.73,0,0,0,0,64,0,0,101,0,0,0,0,0,1319,4432,0
2014-01-20,56.08333333,0,0,0,0,373,0,0,111,0,0,0,0,54,955,3972,0
2014-01-27,57.24666667,3,0,0,0,59,0,0,106,0,0,0,0,114,836,1828,0
2014-02-03,56.23333333,12,0,0,0,262,0,0,105,0,0,124,0,1010,2185,5110,2551
2014-02-10,58.27,12,0,0,0,0,0,0,100,0,43,162,0,530,1247,7645,2789
2014-02-17,63.70666667,12,0,0,0,856,0,0,125,0,0,144,0,693,2681,7581,1422
2014-02-24,67.47333333,9,0,0,0,257,0,0,127,0,0,927,0,1204,2782,5093,0
2014-03-03,68.67666667,0,0,0,0,88,0,0,146,0,43,608,0,643,2694,5230,0
2014-03-10,66.29666667,0,0,0,0,0,0,0,539,0,0,542,0,0,913,1447,237
2014-03-17,61.72,0,0,0,0,301,0,0,179,0,0,218,0,381,1320,4613,1659
2014-03-24,59.96,0,0,0,0,303,0,0,161,0,0,0,0,617,1357,3632,3712
2014-03-31,61.52666667,4,0,0,0,0,0,0,81,0,0,0,0,381,1540,6788,0
2014-04-07,63.31666667,4,0,0,0,578,0,0,56,0,43,0,0,732,3008,5891,0
2014-04-14,63.14666667,4,0,0,0,98,0,0,71,0,0,0,0,1025,2272,5135,0
2014-04-21,61.88666667,4,0,0,0,322,0,0,72,0,0,0,0,763,1183,3941,0
2014-04-28,62.95,5,0,0,0,204,0,0,162,0,0,0,0,329,1055,7373,152
2014-05-05,61.02333333,5,0,0,0,0,0,0,202,0,43,0,0,333,831,4411,913
2014-05-12,62.1,5,0,0,0,0,0,0,217,0,0,0,0,437,352,5726,0
2014-05-19,60.76666667,5,0,0,0,632,0,0,256,0,0,0,0,385,846,4001,0
2014-05-26,63.04333333,6,0,0,0,648,0,0,226,0,0,0,0,546,2162,698,0
2014-06-02,61.41333333,9,0,0,0,0,0,0,154,0,43,0,0,306,1527,2243,0
2014-06-09,61.03666667,9,0,0,0,91,0,0,127,0,0,0,0,644,2101,2629,0
2014-06-16,62.8,9,0,0,0,386,0,0,184,0,0,0,0,391,1234,5504,0
2014-06-23,63.19333333,9,0,0,0,275,0,0,165,0,0,0,0,414,1100,5290,200
2014-06-30,65.13333333,5,0,0,0,260,0,0,70,0,0,0,0,546,1287,2585,200
2014-07-07,62.67333333,4,0,0,0,0,0,0,42,0,43,0,0,270,317,6372,200
2014-07-14,62.69333333,4,0,0,0,0,0,0,53,0,0,0,0,0,0,117,0
2014-07-21,56.43333333,4,0,0,0,0,0,0,55,0,0,0,0,795,0,3745,2490
2014-07-28,54.92333333,3,0,0,0,0,0,0,51,0,0,0,0,690,0,1998,1750
2014-08-04,56.64666667,0,0,0,0,0,0,0,46,0,43,0,0,702,0,9071,0
2014-08-11,59.67,0,0,0,0,0,0,0,45,0,24,0,0,311,660,6294,0
2014-08-18,61.13666667,0,0,0,0,395,0,0,57,0,130,0,0,652,565,2870,0
2014-08-25,64.6,0,0,0,0,251,0,0,52,0,80,0,0,422,794,2857,0
2014-09-01,65.68666667,0,0,0,0,564,0,0,104,0,135,183,0,552,1495,3283,0
2014-09-08,69.67333333,0,0,0,0,0,0,0,83,0,129,215,0,490,1466,3384,0
2014-09-15,63.82,0,0,0,0,135,0,0,115,0,0,224,0,0,0,5072,0
2014-09-22,63.86333333,0,0,0,0,317,0,0,110,0,0,212,0,720,1725,3457,0
2014-09-29,60.32,0,0,0,0,60,0,0,33,0,0,233,0,0,1815,4827,0
2014-10-06,62.12666667,0,0,0,0,141,0,0,43,0,43,271,0,0,1208,1626,0
2014-10-13,60.16333333,0,0,0,0,402,0,0,50,0,0,0,0,546,1649,7775,0
2014-10-20,59.59,0,0,0,0,984,0,0,56,0,0,70,0,561,1942,6329,0
2014-10-27,59.76666667,11,55,0,0,518,0,0,67,0,0,73,0,489,2133,4396,0
2014-11-03,61.94666667,40,193,0,0,202,0,0,98,0,43,73,0,0,2006,5119,0
2014-11-10,65.99666667,40,193,0,0,174,0,0,88,0,0,70,0,0,0,6695,0
2014-11-17,65.32,40,193,0,0,852,0,0,119,0,48,0,0,0,387,4539,0
2014-11-24,67.48,40,193,0,0,826,0,0,110,0,0,0,0,720,812,2800,0
2014-12-01,64.40333333,0,0,0,0,1064,0,0,147,0,43,0,0,693,870,4316,221
2014-12-08,67.36,0,0,0,0,0,0,0,118,0,0,0,0,736,673,2655,536
2014-12-15,61.97333333,0,0,0,0,0,0,0,163,0,0,0,0,339,387,3704,583
2014-12-22,65.84666667,0,0,0,0,784,0,0,224,0,0,0,0,393,392,3099,4314
2014-12-29,64.78333333,0,0,162,0,1067,0,49,88,0,0,0,0,394,316,2350,1010
2015-01-05,68.36333333,0,0,143,0,0,0,79,137,0,43,0,0,0,21,2238,1468
