year,exploration_wells,oil_price_nominal_previous_year
1966,2,1.8
1967,6,1.8
1968,12,1.8
1969,13,1.8
1970,17,1.8
1971,16,1.8
1972,14,2.24
1973,22,2.48
1974,18,3.29
1975,26,11.58
1976,23,11.53
1977,20,12.8
1978,19,13.92
1979,28,14.02
1980,36,31.61
1981,39,36.83
1982,49,35.93
1983,40,32.97
1984,47,29.55
1985,50,28.78
1986,36,27.56
1987,36,14.43
1988,29,18.53
1989,28,14.91
1990,36,18.23
1991,47,23.76
1992,43,20.04
1993,27,19.32
1994,21,17.01
1995,36,15.86
1996,30,17.02
1997,50,20.64
1998,26,19.11
1999,22,12.76
2000,24,17.9
2001,34,28.66
2002,19,24.46
2003,22,24.99
2004,17,28.85
2005,12,38.26
2006,26,54.57
2007,32,65.16
2008,56,72.44
2009,65,96.94
2010,45,61.74
2011,52,79.61
2012,42,111.26
2013,59,111.63
2014,57,108.56
2015,56,98.97
2016,36,52.32
2017,36,43.64
2018,53,54.13
2019,57,71.34
